time,E_pot,E_kin,T
0.0,-1164.257957216359,392.68417198112417,1.0226150312008442
0.01,-1163.9542599617762,392.12047283504666,1.0211470646746006
0.02,-1163.9923536653473,360.83058817166057,0.939662990030366
0.03,-1163.9556574632938,383.4592704965537,0.9985918502514419
0.04,-1163.9721868840363,375.6316123641625,0.9782073238650065
0.05,-1163.386105995045,317.51041840770006,0.8268500479367189
0.06,-1162.9232289915208,349.5564870557977,0.9103033517078064
0.07,-1162.8358428910392,351.2933252158374,0.9148263677495766
0.08,-1162.0783145133034,374.34638411986975,0.9748603753121609
0.09,-1161.6145353123227,374.33573134475785,0.9748326337103069
0.1,-1162.0311727505743,351.05586738173326,0.9142079879732637
0.11,-1162.1597630944098,402.16883830108634,1.0473146830757456
0.12,-1161.7397141820802,396.7448853761732,1.0331898056671178
0.13,-1160.7483738419771,417.74377780879917,1.0878744213770812
0.14,-1160.2076562438606,389.6389069442178,1.0146846535005671
0.15,-1159.4573421433258,364.8032974944248,0.9500085872250645
0.16,-1158.8249947261913,396.1214543187832,1.0315662872884979
0.17,-1157.633060911274,372.11792428938475,0.9690570945036061
0.18,-1156.3567568919345,412.27757357904966,1.0736395145287752
0.19,-1156.488740472733,396.2981611428787,1.03202646130958
0.2,-1155.5263282746027,407.7617099297785,1.0618794529421314
0.21,-1154.6751450376287,406.62946903140255,1.0589309089359442
0.22,-1153.1238503007742,419.946881000782,1.09361166927287
0.23,-1152.063705936608,405.35587012835606,1.0556142451259272
0.24,-1151.402423263757,408.2044283723797,1.0630323655530722
0.25,-1149.5173371242695,386.3074838927356,1.0060090726373323
0.26,-1147.769525217142,382.41625278123223,0.9958756582844589
0.27,-1147.4752551340916,376.5486456934673,0.9805954314934043
0.28,-1145.6027216128473,358.92417360093896,0.9346983687524452
0.29,-1143.5964308640114,367.2323704699819,0.9563342980989112
0.3,-1139.5124512574534,382.08313865609716,0.9950081735835864
0.31,-1138.2346428972232,364.43522830192484,0.9490500737029293
0.32,-1137.325815322909,356.08417491560573,0.9273025388427233
0.33,-1135.8124024062727,368.51105450322916,0.9596642044354926
0.34,-1134.9191277304203,374.75915885001484,0.975935309505247
0.35000000000000003,-1133.1498252650538,354.8157338966084,0.9239993070224176
0.36,-1130.1957709018986,354.8579736477079,0.9241093063742394
0.37,-1129.2167016629041,381.94953123880845,0.9946602376010637
0.38,-1127.8598588813793,371.5835199705674,0.9676654165900193
0.39,-1127.2516307752533,388.07636125661384,1.0106155241057653
0.4,-1124.7629159843439,371.46822868723604,0.9673651788730105
0.41000000000000003,-1124.7973776317071,362.507489914427,0.9440299216521537
0.42,-1124.1224493155912,364.5858082348826,0.9494422089450069
0.43,-1121.4999076914764,371.3789425583211,0.9671326629122946
0.44,-1118.7036398043365,385.93814887651644,1.0050472626992615
0.45,-1115.200704933961,373.5185654695973,0.9727045975770764
0.46,-1112.9964258628768,357.90551381013483,0.9320456088805594
0.47000000000000003,-1110.6747893762204,358.1578745181001,0.932702798224219
0.48,-1105.6254551621257,383.95488721982065,0.9998825188016163
0.49,-1103.2043278686,391.08766745029925,1.0184574673184876
0.5,-1101.7567620240327,410.1278494404987,1.0680412745846322
0.51,-1096.202330059331,389.74533720649333,1.0149618156419098
0.52,-1093.3361980219315,419.4149952835739,1.0922265502176403
0.53,-1090.529517931533,386.563418213427,1.0066755682641328
0.54,-1091.0414739234138,387.0074593778909,1.0078319254632575
0.55,-1092.3790867183768,370.9195475420289,0.9659363217240337
0.56,-1090.9847007942392,416.32459374116195,1.084178629534276
0.5700000000000001,-1089.957142553449,385.15731358836524,1.003013837469701
0.58,-1088.0981327282338,388.77909204671073,1.0124455522049758
0.59,-1087.9425311235173,384.36144423019175,1.0009412610161244
0.6,-1087.2214913715059,365.51514766075263,0.9518623636998766
0.61,-1084.6706656875936,402.7044268685676,1.048709444970228
0.62,-1083.9836951521902,389.3875698654067,1.01403012985783
0.63,-1083.4166718760334,381.55329994651595,0.9936283852773853
