time,E_pot,E_kin,T
0.0,-4306.075047144974,1283.90636454382,0.9906684911603549
0.01,-4305.680902232814,1318.7571617179076,1.017559538362583
0.02,-4305.00068008117,1222.0444837531122,0.9429355584514755
0.03,-4303.942487942857,1234.1165095626038,0.9522503931810214
0.04,-4302.3973320405585,1280.6171593260328,0.9881305241713216
0.05,-4300.541561828692,1297.4457620782816,1.001115557159168
0.06,-4298.690347776451,1290.4856051588176,0.9957450657089643
0.07,-4296.349607983719,1323.015339143803,1.0208451690924405
0.08,-4293.124372097962,1293.5263128842428,0.9980912908057429
0.09,-4289.883351181646,1276.2968231563466,0.9847969314477983
0.1,-4286.271515621803,1278.741144052954,0.9866829815223411
0.11,-4282.6500276683755,1229.817984139726,0.9489336297374429
0.12,-4278.750244473813,1272.098311145956,0.9815573388471882
0.13,-4273.896701457223,1256.1897116782752,0.9692821849369407
0.14,-4268.616083191728,1226.5050922223515,0.9463773859740366
0.15,-4263.868527209597,1331.3859051639356,1.0273039391697034
0.16,-4259.219139556053,1290.1111563461327,0.9954561391559666
0.17,-4253.019323761411,1222.1084696941098,0.9429849303195291
0.18,-4247.293158255226,1301.5825560475216,1.0043075278144458
0.19,-4240.501155488311,1273.7503004983366,0.9828320219894573
0.2,-4236.155645734688,1262.2072264246203,0.9739253290313429
0.21,-4230.535016592827,1186.7007615901423,0.9156641678936284
0.22,-4224.36240258205,1175.3374808318345,0.9068962043455513
0.23,-4219.244357076484,1240.4763990551482,0.9571577153203304
0.24,-4216.075461323258,1217.093897623638,0.9391156617466343
0.25,-4211.249859088967,1278.5279733772522,0.9865184979762749
0.26,-4206.808125703275,1247.0994046992132,0.9622680591814917
0.27,-4202.52336974588,1281.6393189406083,0.9889192275776298
0.28,-4197.638342947397,1225.9183941644096,0.9459246868552543
0.29,-4189.658360740742,1308.039749718351,1.0092899303382339
0.3,-4181.464645012224,1270.1538604786256,0.9800569911100506
0.31,-4175.183047429282,1298.425102874259,1.001871221353595
0.32,-4170.550703392535,1250.5179095930825,0.964905794439107
0.33,-4168.202847359509,1261.3999412888284,0.9733024238339725
0.34,-4162.913162727194,1288.7588588956064,0.9944126997651284
0.35000000000000003,-4158.053396922211,1309.1230107637632,1.0101257799103112
0.36,-4153.794887135763,1298.1971498357375,1.0016953316633777
0.37,-4145.378080808143,1332.243495693583,1.0279656602573943
0.38,-4135.312758570153,1305.922970319837,1.0076566129011089
0.39,-4127.480169932977,1346.8979222043808,1.0392730881206642
0.4,-4122.20728306895,1242.4711691172815,0.9586968897509889
0.41000000000000003,-4116.575475230755,1266.5617135597072,0.977285272808416
0.42,-4110.457087843306,1285.697075878988,0.9920502128695895
0.43,-4103.882345182358,1240.865844185264,0.9574582131059136
0.44,-4099.83158175198,1328.3018479345658,1.0249242653816093
0.45,-4091.9807282540787,1315.861839537548,1.0153254934703302
0.46,-4085.97893089314,1243.783982258236,0.9597098628535771
0.47000000000000003,-4076.40103200052,1268.6141115509527,0.9788689132337598
0.48,-4070.495118470326,1264.5439678659693,0.9757283702669516
0.49,-4063.3788166452723,1269.9462175330946,0.9798967727878816
0.5,-4062.132361417342,1233.2069152806444,0.9515485457412379
0.51,-4063.7134441903827,1275.4903671893626,0.9841746660411749
0.52,-4058.363794780952,1284.793906538638,0.99135332294648
0.53,-4050.5696962998427,1255.5693758083771,0.9688035307163404
0.54,-4043.106173609307,1255.701327821856,0.9689053455415556
0.55,-4035.727534099611,1324.6691719382147,1.0221212746436843
0.56,-4029.1665759234957,1261.7816064075687,0.9735969185243586
0.5700000000000001,-4026.4272705017324,1293.9568655501546,0.9984235073689465
0.58,-4022.094161349797,1298.8832561046202,1.0022247346486266
0.59,-4016.490180494669,1256.075514705829,0.9691940699890655
0.6,-4014.065893943153,1280.8533675173012,0.9883127835781645
0.61,-4009.2686721870928,1255.380442845757,0.9686577491093804
0.62,-4012.663273280058,1245.755975379342,0.9612314624840602
0.63,-4012.3739505211965,1309.6967461207746,1.010568476945042
0.64,-4010.9296901610596,1337.9642182629773,1.0323797980424207
0.65,-3999.838828517849,1323.0928440763344,1.020904972281122
0.66,-3988.9460795362843,1258.360984897196,0.9709575500749968
0.67,-3991.562762395646,1261.8759326587792,0.9736697011256013
0.68,-3997.3904025122297,1243.7680778937747,0.9596975909674188
0.6900000000000001,-4003.2606705922053,1292.2826362289602,0.9971316637569138
0.7000000000000001,-4001.873737154273,1270.5257343383355,0.9803439308166169
0.71,-3997.3333110283093,1325.495145011452,1.0227585995458734
0.72,-3992.7318529647646,1341.4732838451005,1.035087410374306
0.73,-3986.264097014563,1260.6722731889372,0.9727409515346738
0.74,-3976.705842274694,1285.7280682857333,0.9920741267636831
0.75,-3973.986138736612,1291.3668350853086,0.9964250270719974
0.76,-3972.9336678341288,1231.786399372336,0.9504524686514939
0.77,-3979.3933308859155,1321.152186332377,1.0194075511823897
0.78,-3980.576723399845,1317.8854940564217,1.016886955290449
0.79,-3980.0147132793672,1395.513328690834,1.076784975841693
0.8,-3979.8210308838943,1291.2574380081674,0.9963406157470427
0.81,-3983.3302327887227,1386.991640130116,1.0702095988658302
0.8200000000000001,-3987.0352349774516,1374.363329104649,1.0604655317165501
0.8300000000000001,-3987.524260311103,1348.18414678905,1.0402655453619212
0.84,-3980.43531075377,1272.3617153753341,0.981760582851338
0.85,-3978.669811679231,1349.5273955473695,1.0413020027371678
0.86,-3975.4761623710237,1250.0026610491163,0.9645082261181454
0.87,-3965.9498831389756,1324.985665980917,1.0223654830099669
0.88,-3961.3207781534215,1377.5140532439982,1.0628966460216036
0.89,-3958.5049213798434,1314.2127237946006,1.0140530276192905
0.9,-3954.716318481521,1219.7304070415885,0.9411500054333244
0.91,-3949.4617267365547,1237.7208747862533,0.9550315391869239
0.92,-3948.542046384323,1278.580286134513,0.9865588627581119
0.93,-3947.281943193383,1219.977703072098,0.9413408202716805
0.9400000000000001,-3950.159247874368,1274.2095634332395,0.9831863915379935
0.9500000000000001,-3945.4585359217726,1299.6664129956823,1.0028290223732117
0.96,-3942.803471005117,1376.0058655837674,1.0617329209751292
0.97,-3941.8437408824548,1319.1603970863302,1.0178706767641437
0.98,-3945.3063101761745,1303.8164119427256,1.0060311820545722
0.99,-3949.2480540257206,1266.5272862396757,0.9772587085182683
1.0,-3951.528006341893,1270.2621141319864,0.9801405201635698
1.01,-3952.696413333575,1287.4097383319004,0.993371711675849
1.02,-3955.63682992507,1294.474862242245,0.9988231961745718
1.03,-3955.386225345669,1264.258901469639,0.975508411627808
1.04,-3952.4089500717682,1352.8498340105864,1.0438656126624895
1.05,-3953.7821851993813,1325.1893769678686,1.0225226674134789
1.06,-3952.5526495404083,1331.9527739169953,1.0277413378989162
1.07,-3947.161054374363,1293.8754326398875,0.9983606733332465
1.08,-3949.9861293763115,1337.1219640124868,1.031729910503462
1.09,-3948.3557519667347,1323.1618933846585,1.0209582510684092
1.1,-3946.0237624770966,1311.3821912695103,1.0118689747449925
1.11,-3937.084268111822,1354.5311714426775,1.045162940927992
1.12,-3936.9417323879325,1273.1476015019498,0.9823669764675539
1.1300000000000001,-3933.5137527105267,1306.3131794394894,1.0079577001847912
1.1400000000000001,-3929.078944919073,1302.6768347337943,1.005151878652619
1.1500000000000001,-3929.3497388873616,1250.6968325555008,0.9650438522804791
