time,E_pot,E_kin,T
0.0,-1164.1063119293324,386.41506694110063,1.006289236825783
0.02,-1163.7064423831735,385.84173690467344,1.0047961898559203
0.04,-1159.5891017160222,382.14978111114044,0.9951817216435949
0.06,-1142.708150138912,362.06025285071007,0.9428652417987241
0.08,-1105.1557873186414,331.1710099964698,0.8624245051991402
0.1,-1062.313734465572,292.5676662062924,0.7618949640788865
0.12,-1037.6705949096058,272.5972826437393,0.7098887568847377
0.14,-1040.1641057153447,291.1279771688205,0.7581457738771368
0.16,-1051.850833445771,323.41154836904957,0.8422175738777332
0.18,-1051.448958264577,348.3664143043143,0.9072042039174851
0.2,-1037.9276355731117,331.5929308457076,0.8635232574106969
0.22,-1033.179562508843,331.50071224557576,0.8632831048061869
0.24,-1036.673026664348,354.95058909154136,0.924350492425889
0.26,-1037.0396326734215,368.91028134970225,0.9607038576815162
0.28,-1035.0520908877907,361.8142549285583,0.9422246222097872
0.3,-1024.7195156459827,352.9664577451706,0.9191834837113818
0.32,-1018.9355172958285,351.75347400084473,0.9160246718771998
0.34,-1022.3348689734605,367.25426538329157,0.9563913161023218
0.36,-1028.6908905913228,386.60545948304025,1.006785050737084
0.38,-1031.576437471075,394.1100705077872,1.0263283086140291
0.4,-1030.6327415247608,414.72894002039504,1.080023281303112
0.42,-1027.6591437116356,413.62007164245495,1.0771356032355597
0.44,-1015.4794999380099,408.08997436123,1.06273430823237
0.46,-1006.1669086475556,408.0287653634741,1.0625749098007138
0.48,-997.2720010564445,400.3374933275273,1.0425455555404357
0.5,-986.2962416973724,409.11823777597704,1.065412077541607
0.52,-983.0071935593804,414.4947988384457,1.0794135386417858
0.54,-979.4370034871224,408.01113013697216,1.0625289847316983
0.56,-983.8738378685862,428.52819361453953,1.1159588375378633
0.58,-995.7628046160748,431.0255390065325,1.122462341162845
0.6,-1005.2178466662822,423.7626946072653,1.1035486838730868
0.62,-1002.7200115876274,432.1248307896898,1.1253250801814838
0.64,-993.9233929275238,416.3499693994466,1.0842447119777254
0.66,-988.2966283306728,409.5336495689902,1.066493879085912
0.68,-987.4960922665662,415.36606229186157,1.0816824538850562
0.7000000000000001,-985.6234085846824,413.1309939184389,1.0758619633292679
0.72,-979.9571640406199,407.6546478352901,1.0616006454044014
0.74,-967.3407977908394,393.03034776261643,1.0235165306318137
0.76,-956.7037589747478,385.0904464302841,1.0028397042455315
0.78,-959.6574183581575,376.9079576821165,0.9815311397971783
0.8,-965.4105159368663,389.9261976050782,1.0154328062632245
0.8200000000000001,-969.9313706403952,405.035590492201,1.05478018357344
0.84,-967.3665486972995,413.708575927134,1.077366083143578
0.86,-961.2471834756622,407.9691077517498,1.0624195514368484
0.88,-958.8392371145037,399.0021796227504,1.0390681761009126
0.9,-968.9559141172824,410.4240822505799,1.0688127141942185
0.92,-963.2705100996864,417.2320420138682,1.0865417760777818
0.9400000000000001,-961.6734216884231,419.64297688986653,1.0928202523173607
0.96,-962.2152526382448,411.9851317866419,1.0728779473610466
0.98,-955.3976360630498,403.4667114011276,1.0506945609404366
1.0,-948.6921931908352,391.28854712383,1.0189805914683074
1.02,-953.3531506865942,389.3157570088623,1.0138431172105788
1.04,-958.8036766470234,388.6593090584473,1.0121336173397066
1.06,-964.3943182267955,389.4291934846682,1.0141385246996568
1.08,-963.3048691040012,377.2077931669246,0.9823119613721994
1.1,-968.2250389307518,370.42298579218027,0.9646431921671361
1.12,-983.4618588363967,383.23819660432594,0.9980161369904321
1.1400000000000001,-993.4108334264852,381.29020484197304,0.9929432417759715
1.16,-995.7805034174303,400.2979663237984,1.0424426206348916
1.18,-994.198842966312,386.9164864169432,1.0075950167107897
1.2,-989.7519624271749,372.2599948951017,0.9694270700393274
1.22,-982.5412189210542,355.3208712806603,0.9253147689600528
1.24,-977.723742068368,355.6066640523744,0.926059020969725
1.26,-976.7925759649993,354.1151973298071,0.9221749930463726
1.28,-974.9358673506576,356.2272200501272,0.9276750522138729
1.3,-976.2702414997268,361.39519207412343,0.9411333126930298
1.32,-972.1877995688625,367.7681995251884,0.9577296862635114
1.34,-972.9471480498919,364.7113582803729,0.9497691621884711
1.36,-979.7326767599228,375.70841778091267,0.9784073379711268
1.3800000000000001,-979.1403509237135,373.0030570409609,0.9713621277108357
1.4000000000000001,-973.8402395218135,403.4807745283767,1.0507311836676476
1.42,-961.014122206797,388.98664719262047,1.0129860603974492
1.44,-950.7861465870351,371.07217292676285,0.9663337836634449
1.46,-955.0078742200463,359.1172410433827,0.9352011485504758
1.48,-965.5634437743579,374.4217923677485,0.9750567509576783
1.5,-961.6994433253591,372.9841872123225,0.9713129875320899
1.52,-946.7858854689958,361.74449186640675,0.9420429475687676
1.54,-935.5996767116586,353.5381515867624,0.9206722697571937
1.56,-943.2548611348657,369.57137081758117,0.962425444837451
1.58,-957.318557016707,382.57878224715967,0.9962989121019783
1.6,-958.6569720854327,379.1197706073529,0.9872910692899816
1.62,-958.7162297837704,398.6066248117126,1.0380380854471682
1.6400000000000001,-973.7005269981563,419.88667925999187,1.0934548939062287
1.6600000000000001,-978.5166759155343,426.4407364450778,1.1105227511590567
1.68,-977.1903440340318,413.73642792373926,1.0774386143847376
1.7,-971.5056467213465,415.7279994251278,1.082624998502937
1.72,-953.4341685735476,415.0537892647677,1.0808692428769993
1.74,-944.9295599790723,402.48403943182745,1.0481355193537174
1.76,-947.6878410864892,402.5185569310439,1.0482254086745935
1.78,-947.449401502734,402.454762567122,1.0480592775185469
1.8,-941.1212538630866,390.27547681539147,1.0163423875400819
1.82,-947.0788831357468,394.8674561378508,1.0283006670256531
1.84,-951.0187817282808,400.4336484499811,1.042795959505159
1.86,-950.8241784400263,409.7681642336877,1.0671045943585618
1.8800000000000001,-954.0039628940824,404.0979579789091,1.0523384322367424
1.9000000000000001,-959.3428402406286,396.05666868834163,1.031397574709223
1.92,-961.2226691660376,406.1180160996207,1.0575990002594289
1.94,-958.9762740933718,388.4669293131318,1.011632628419614
1.96,-961.1574182744376,383.81700620464994,0.9995234536579426
1.98,-966.1013951611116,391.2962141732813,1.0190005577429202
2.0,-963.6718694567335,378.17049731604754,0.9848190034272072
2.02,-957.8655389578228,382.96458232639606,0.9973035998083231
2.04,-958.242434268622,389.75425531421513,1.0149850398807685
2.06,-951.8790835894515,377.659532459107,0.9834883657789245
2.08,-946.4887367936412,374.1026857464426,0.974225744131361
2.1,-953.2407462314508,371.93627013290757,0.9685840368044468
2.12,-955.8506293607136,371.48440266473455,0.9674072986060795
2.14,-953.3231198723581,384.039709024291,1.0001034089174246
2.16,-950.4047425023316,382.10359982130774,0.9950614578679889
2.18,-946.2334340497617,365.52279423383106,0.9518822766506018
2.2,-938.2695098239733,361.147532219509,0.9404883651549714
2.22,-935.9054705589657,354.2499271326268,0.9225258519078823
2.24,-937.88594449865,362.041964750666,0.9428176165381927
2.2600000000000002,-942.0169490667504,378.04786482659347,0.9844996479859205
2.2800000000000002,-943.3356326526949,382.91231545701197,0.997167488169302
2.3000000000000003,-947.9782426671136,387.90690252375157,1.0101742253222696
2.32,-941.3434919049384,371.49845708763576,0.9674438986657181
2.34,-938.6641772217868,371.28103641965185,0.96687769900951
2.36,-941.8940579626121,381.73273677712837,0.9940956686904384
2.38,-943.8902678527115,400.1801260526755,1.0421357449288424
2.4,-948.786668899293,396.78656669696693,1.0332983507733513
2.42,-951.2887277929967,397.37396105946345,1.0348280235923528
2.44,-950.2706055921549,389.8631546683341,1.0152686319487867
2.46,-950.1832243680291,382.47875607352466,0.9960384272748039
2.48,-942.2701154847972,364.66391909004824,0.9496456226303339
2.5,-938.0483569244009,361.44290348318566,0.9412575611541293
2.52,-951.5259588417832,375.5536327599333,0.978004251978993
2.54,-956.4038676136427,382.1752721487384,0.9952481045540061
2.56,-958.3513267503462,385.9850856654968,1.0051694939205646
2.58,-951.5115279962599,366.45861663798235,0.9543193141614124
2.6,-936.666852329882,368.12760066684973,0.9586656267365878
2.62,-941.673066084832,371.4233703348872,0.967248360247102
2.64,-947.1527957808406,376.3671676455873,0.9801228324103836
2.66,-941.9521055423861,356.86579122865055,0.9293379979912775
2.68,-941.8730503598265,372.1936279108879,0.9692542393512706
2.7,-946.1831256210448,377.1734617581528,0.9822225566618563
2.72,-941.3654967137783,382.52028034713726,0.9961465634040033
2.74,-931.6724760291647,383.263593220936,0.9980822740128542
2.7600000000000002,-924.792068112805,383.56779384301115,0.9988744631328416
2.7800000000000002,-928.2844833804158,383.393130416174,0.9984196104587865
2.8000000000000003,-930.3149342665434,383.27928408530715,0.9981231356388207
2.82,-932.7653877481372,377.696507856694,0.9835846558768072
2.84,-938.4726595722334,377.19152654315,0.9822696003727865
2.86,-936.8170096414581,377.5486371519178,0.9831995759164526
2.88,-928.050726051434,356.6046803594996,0.9286580217695302
2.9,-918.895922249861,359.6388001743988,0.9365593754541636
