time,E_pot,E_kin,T
0.52,-4071.596138387924,1265.9194076197318,0.9767896663732498
0.53,-4071.802040583293,1301.7113170640685,1.00440688045067
0.54,-4071.70804681578,1291.3479903358175,0.9964104863702296
0.55,-4071.8757099324216,1297.8994395322943,1.0014656169230667
0.56,-4072.69966050634,1273.3729515159432,0.9825408576511907
0.5700000000000001,-4071.284948482431,1271.80703411014,0.9813325880479475
0.58,-4070.9630573121763,1309.5853415328297,1.0104825166148377
0.59,-4066.6424536615705,1218.5549692501827,0.9402430318288447
0.6,-4063.047224579911,1233.253088473078,0.9515841732045355
0.61,-4059.7119558823015,1222.7814486580592,0.9435042042114654
0.62,-4056.3894994038137,1256.7447622089016,0.9697104646673624
0.63,-4050.3784843629455,1330.2944961660155,1.0264618025972343
0.64,-4043.5400319923906,1244.5933177138259,0.9603343500878286
0.65,-4039.3901697843794,1232.2657502432085,0.9508223381506238
0.66,-4026.607880346315,1281.856159104445,0.9890865425188619
0.67,-4020.5192749385874,1310.7047961481408,1.0113462933241826
0.68,-4014.97252623625,1366.4646711278158,1.0543708882159073
0.6900000000000001,-4012.483785808605,1348.1149881971262,1.040212182250869
0.7000000000000001,-4004.3975310424707,1277.2650713348323,0.9855440365237904
0.71,-3995.2012210700136,1327.7216499277447,1.0244765817343708
0.72,-3988.770895226614,1287.616419358795,0.9935311877768479
0.73,-3982.7135996106763,1315.1310567041219,1.0147616178272545
0.74,-3982.230928171684,1346.5074029568714,1.0389717615407958
0.75,-3981.9128177117327,1310.7445075985,1.0113769348753858
0.76,-3977.275527944719,1254.6570490911552,0.9680995749160148
0.77,-3970.5449326895337,1309.272070032583,1.0102407947782277
0.78,-3960.2134432518646,1245.165993697549,0.960776229704899
0.79,-3953.342657706641,1340.2044957221333,1.034108407193004
0.8,-3958.4556591551477,1348.192140055978,1.0402717130061558
0.81,-3962.3421866374433,1359.3791574693848,1.048903670886871
0.8200000000000001,-3955.7203257618357,1306.0162599955775,1.0077285956756
0.8300000000000001,-3954.6551651639643,1324.9151056906899,1.0223110383415817
0.84,-3952.005454470645,1279.7241962336288,0.9874415094395285
0.85,-3948.7295712131604,1338.2454085646011,1.0325967658677477
0.86,-3951.752033393902,1306.024399677592,1.0077348762944383
0.87,-3955.438239565608,1368.1690612071734,1.0556860040178808
0.88,-3961.0750308425577,1309.7605512761652,1.0106177093180286
0.89,-3966.7545290204625,1310.8057633778508,1.0114242001372304
0.9,-3974.0119126988584,1286.3830970402582,0.9925795501853845
0.91,-3974.420730513291,1272.0549481050994,0.9815238797107249
0.92,-3974.273904848334,1303.8735265234413,1.0060752519471
0.93,-3974.9534465175875,1343.3984248450743,1.0365728586767549
0.9400000000000001,-3975.703537846639,1300.4383196958393,1.0034246293949376
0.9500000000000001,-3975.661213415474,1275.9870209199157,0.9845578865122806
0.96,-3975.621498865636,1323.5343446202533,1.0212456362810596
0.97,-3976.772468921329,1325.8944582900936,1.0230667116435908
0.98,-3973.0955072619818,1282.4059358237755,0.9895107529504441
0.99,-3967.7811349888116,1271.1367594705775,0.9808154008260629
1.0,-3969.584514716064,1308.9573619997323,1.0099979645059662
1.01,-3974.8038132015045,1300.3599997926417,1.0033641973708656
1.02,-3970.118581032798,1303.7016223826772,1.005942609863177
1.03,-3966.074215110715,1349.5767224966407,1.0413400636548154
1.04,-3958.3369553852967,1308.8894001914528,1.0099455248390838
1.05,-3948.0190328414687,1301.049663081075,1.0038963449699654
1.06,-3946.9151162308326,1284.4118247283045,0.9910585067348029
1.07,-3941.226874293897,1351.4037747862365,1.0427498262239479
1.08,-3936.4754195564074,1334.837257281175,1.0299670195070794
1.09,-3935.3086576545406,1381.742660952831,1.0661594606117524
1.1,-3936.2430711354223,1329.7533150630757,1.0260442245857064
1.11,-3936.478477086813,1311.6361133484654,1.0120649022750505
1.12,-3937.765943294675,1384.0838005308574,1.0679658954713407
1.1300000000000001,-3937.3012052769154,1278.1416852549269,0.986220436153493
1.1400000000000001,-3931.371407032601,1300.4113079143003,1.0034037869709107
1.1500000000000001,-3928.352254405324,1286.365006241872,0.9925655912360123
1.16,-3930.581178150213,1302.7677420474608,1.0052220231847693
1.17,-3925.9572962197435,1293.0735994707172,0.9977419749002447
1.18,-3921.387198414023,1246.2825893023448,0.9616378003876117
1.19,-3924.247934499047,1314.695143166683,1.0144252647891072
1.2,-3920.5488819889797,1321.892157604827,1.0199785166703912
1.21,-3916.8482340664414,1297.207172833917,1.0009314605199977
1.22,-3917.0798805445856,1303.747757328813,1.005978207815442
1.23,-3911.38516691735,1253.0506580625274,0.9668600756655304
1.24,-3907.2632383529117,1261.4772171220948,0.97336205024853
1.25,-3911.8449717455824,1270.0912808531134,0.9800087043619702
1.26,-3920.884944222527,1318.142468904361,1.0170852383521305
1.27,-3925.21954399027,1305.1673255192618,1.0070735536414057
1.28,-3925.8622058305823,1237.345218739888,0.9547416811264567
1.29,-3927.6444613013064,1239.4866104253765,0.9563939895257535
1.3,-3920.5110654037676,1256.2905824365625,0.9693600173121625
1.31,-3915.844287079818,1308.4287129332738,1.0095900562756743
1.32,-3906.1819370102658,1271.590837575417,0.9811657697341181
1.33,-3911.025163409542,1332.8162580705407,1.0284076065359111
1.34,-3915.4702265949895,1305.619350453027,1.007422338312521
1.35,-3920.286991367626,1323.3382488007655,1.0210943277783684
1.36,-3918.1247874262617,1290.906119647946,0.9960695367653905
1.37,-3918.3194396709428,1230.3412708266833,0.949337400329231
1.3800000000000001,-3926.6509408153943,1286.8773309517228,0.9929609035121318
1.3900000000000001,-3928.0593473290464,1288.475425672846,0.9941940012907763
1.4000000000000001,-3927.617064500555,1312.1577223534373,1.0124673783591338
1.41,-3920.6014963030907,1278.9422004564617,0.9868381176361587
1.42,-3911.8081607608947,1328.1815534380162,1.0248314455540248
1.43,-3904.3647414764228,1340.9841804553373,1.0347100157834392
1.44,-3894.164709661388,1300.9873072961736,1.0038482309384056
1.45,-3889.5710223569413,1312.6344019191888,1.0128351866660408
1.46,-3880.676478655005,1297.304158065376,1.0010062948035308
1.47,-3868.779354069941,1224.711329216973,0.9449933095809976
1.48,-3857.980067306864,1225.1015088248828,0.9452943740932738
1.49,-3858.2246203030336,1211.8350513859023,0.9350579100199863
1.5,-3861.552994989319,1234.0365220844897,0.9521886744479087
1.51,-3867.347534681343,1238.6501566187792,0.955748577637947
1.52,-3865.1628464479236,1320.3079682503712,1.0187561483413359
1.53,-3858.547178846614,1322.6624503195112,1.0205728783329562
1.54,-3867.1697414591536,1304.7350474084708,1.0067400057164126
1.55,-3877.5791015694745,1231.309934434095,0.9500848259522339
1.56,-3878.597472795596,1287.6232796344968,0.9935364811994575
1.57,-3877.2971012597664,1316.4089513341412,1.0157476476343683
1.58,-3878.4684943785232,1331.383350201331,1.0273019677479407
1.59,-3877.00452570334,1335.0761627174227,1.030151360121468
1.6,-3875.2942505087526,1335.853706118417,1.0307513164493958
1.61,-3881.9473394517267,1275.6090881452074,0.984266271716981
1.62,-3887.500782585772,1280.5590562881669,0.9880856915803756
1.6300000000000001,-3892.511157729404,1285.407834309035,0.9918270326458604
1.6400000000000001,-3900.9801896578456,1292.6464981969393,0.9974124214482556
1.6500000000000001,-3904.3200392399153,1265.6355129137482,0.9765706118161638
1.6600000000000001,-3901.021207269499,1274.5062219028225,0.9834152946781038
1.67,-3903.487526155367,1278.4000001334484,0.9864197531893892
1.68,-3898.385901660902,1213.0430186366602,0.9359899835159415
1.69,-3885.782808139331,1195.90181395105,0.9227637453326002
1.7,-3880.5260693111577,1282.4296169326913,0.9895290254110272
1.71,-3877.7176733723854,1286.1691614166853,0.9924144764017633
1.72,-3878.429343067653,1280.5878596369732,0.9881079163865534
1.73,-3882.039236158719,1185.9281185006837,0.9150679926702806
1.74,-3890.464428541107,1290.9399720082033,0.9960956574137372
1.75,-3883.8610511992133,1335.9110196676759,1.0307955398670339
1.76,-3883.1930623068024,1269.2714381461547,0.9793761096806749
1.77,-3884.4899495912036,1267.8273626841446,0.9782618539229511
1.78,-3884.7809102472856,1223.2984276839156,0.9439031077807991
1.79,-3889.4082431987963,1278.7086825217827,0.9866579340445855
1.8,-3887.398334012687,1341.1528202081986,1.0348401390495359
1.81,-3883.909113762918,1300.457996613236,1.003439812201571
1.82,-3880.388039225189,1266.8171434288251,0.9774823637568095
1.83,-3878.534005312752,1240.7535033545723,0.9573715303661824
1.84,-3875.0444185976944,1266.9298661984894,0.9775693412025381
1.85,-3876.4750881024142,1287.6195779150078,0.9935336249344195
1.86,-3877.5402987904345,1358.7008983349915,1.0483803227893453
